latitude,longitude,prix
48.846278,2.287493,5700
48.820989,2.255732,5700
48.897753,2.252105,7200
48.828226,2.324444,7300
48.81649,2.320358,5300
48.843075,2.315532,5700
48.839601,2.312536,4800
48.847691,2.351262,2900
48.843832,2.432327,4700
48.856721,2.269536,8300
48.826052,2.372953,8100
48.845736,2.285032,8100
48.84597,2.210024,4200
48.840651,2.23108,2700
48.871663,2.42436,6500
48.82019,2.279174,3800
48.838537,2.280951,3000
48.825791,2.359667,5700
48.829921,2.333441,3200
48.811819,2.315356,4700
48.839747,2.316738,3500
48.837763,2.311337,4700
48.834563,2.313402,3500
48.82242,2.218966,7300
48.838537,2.280951,3000
48.865489,2.277679,3200
48.820989,2.255732,6500
48.829045,2.302124,2700
48.825728,2.351781,3900
48.834444,2.288352,5700
48.838537,2.280951,3500
48.884525,2.28882,4700
48.873768,2.30418,7300
48.852215,2.297024,2700
48.861553,2.319858,4800
48.816951,2.259606,4000
48.845347,2.40378,3200
48.895472,2.353244,6200
48.848465,2.299086,4700
48.836733,2.323582,3500
48.81525,2.28221,3200
48.780278,2.374503,2700
48.846278,2.287493,5700
48.823459,2.263075,2700
48.886817,2.344496,8400
48.840375,2.257697,2700
48.828454,2.324556,8900
48.839448,2.315781,4700
48.826512,2.239881,4900
48.857681,2.299163,6200
48.871663,2.42436,5400
48.871663,2.42436,3000
48.762146,2.316364,4700
48.883626,2.334054,11200
48.838537,2.280951,3000
48.839747,2.316738,3000
48.878874,2.274032,4200
48.842773,2.199306,4700
48.835624,2.317299,3500
48.85021,2.337125,3000
48.836539,2.297484,2700
48.823924,2.29328,3200
48.802996,2.343973,4700
48.89558,2.28209,8900
48.873976,2.332969,6900
48.838537,2.280951,3000
48.844622,2.395369,6500
48.858691,2.282732,3200
48.833333,2.240492,2700
48.829921,2.333441,3900
48.832921,2.303382,8100
48.820989,2.255732,6500
48.820989,2.255732,6500
48.867931,2.32518,3200
48.89558,2.28209,3900
48.786357,2.261718,4200
48.816359,2.333633,2700
48.838537,2.280951,7300
48.838537,2.280951,3000
48.862624,2.348708,3200
48.869841,2.279341,4200
48.825791,2.359667,5700
48.758546,2.322359,4700
48.834444,2.288352,6500
48.846278,2.287493,4900
48.863666,2.348847,4700
48.845598,2.285581,8900
48.831059,2.315074,7300
48.837548,2.35171,3900
48.848483,2.262557,9100
48.848483,2.262557,9100
48.842828,2.294752,15600
48.830847,2.249627,2700
48.798322,2.293473,4900
48.825586,2.327523,2900
48.857855,2.279716,4700
48.838537,2.280951,3000
48.832088,2.2441,3200
48.783413,2.267484,3000
48.918703,2.317042,7300
48.841807,2.393632,20600
48.829881,2.251337,3200
48.863666,2.348847,4700
48.838537,2.280951,3000
48.816359,2.333633,3900
48.873768,2.30418,6500
48.871663,2.42436,5700
48.789861,2.286186,8900
48.812491,2.281555,7300
48.878874,2.274032,3200
48.88814,2.28215,2700
48.850466,2.234753,3500
48.844925,2.266784,3000
48.826052,2.372953,4800
48.834693,2.290896,7300
48.834444,2.288352,5700
48.834563,2.313402,3500
48.838537,2.280951,3000
48.801844,2.407146,8100
48.844622,2.395369,6500
48.774835,2.254654,4200
48.830571,2.371136,4200
48.841254,2.303898,2000
48.797077,2.34032,6500
48.89558,2.28209,11600
48.839776,2.290473,2700
48.841292,2.284995,2700
48.846278,2.287493,7300
48.799694,2.38687,7300
48.838537,2.280951,3000
48.828741,2.321993,2700
48.825791,2.359667,5700
48.863666,2.348847,5300
48.753604,2.311609,14000
48.842427,2.331433,3200
48.842427,2.331433,7300
48.816951,2.259606,4000
48.822881,2.288736,3900
48.839747,2.316738,8100
48.883886,2.260432,12600
48.840654,2.288502,2700
48.829045,2.302124,2700
48.836503,2.299493,3200
