latitude,longitude,prix
48.883772,2.289295,3200
48.874812,2.379315,3900
48.864637,2.37326,2700
48.875567,2.295138,2700
48.893549,2.2823,2700
48.893118,2.255072,3200
48.888468,2.35443,4700
48.885537,2.285431,2000
48.917887,2.317116,8100
48.866841,2.203268,3200
48.87619,2.251753,2000
48.880897,2.298993,2700
48.855933,2.194336,2000
48.894759,2.259607,3900
48.90958,2.293841,2900
48.891974,2.286301,2700
48.878633,2.303041,2700
48.756791,2.346211,3200
48.866927,2.393312,3000
48.77342,2.414639,9700
48.839215,2.416786,3200
48.864606,2.20886,2000
48.753241,2.26785,3500
48.753241,2.26785,3500
48.881395,2.349321,3200
48.86078,2.377124,3500
48.889268,2.299515,3200
48.911389,2.232801,8100
48.872043,2.384982,2700
48.875436,2.291106,3200
48.896957,2.296542,3000
48.868924,2.385439,3500
48.642902,1.847944,14800
48.861491,2.369082,3500
48.877122,2.288409,3200
48.891916,2.333723,2700
48.885049,2.342136,3000
48.923117,2.278761,3000
48.877896,2.285521,2700
48.841721,2.171817,3200
48.864521,2.359179,2700
48.788588,2.489581,3200
48.891241,2.33861,2700
48.729091,2.23763,2500
48.853493,2.384165,3500
48.739737,2.300372,3200
48.883378,2.314063,2700
48.905446,2.277192,7300
48.853493,2.384165,3000
48.885304,2.426941,2700
48.892879,2.310503,2700
48.881495,2.309261,3000
48.891928,2.323145,3200
48.876881,2.445785,2700
48.886417,2.304557,3000
48.868548,2.384831,3500
48.788762,2.233599,2700
48.84935,2.456125,4700
48.891999,2.309747,3200
